,Track ID,genre,year of release,number of listens,track title,artist name,favorites
0,4996,Rock,2009,1030,Hassle St.,New Bomb Turks,3
1,4997,Rock,2009,224,Interview: Part 2,New Bomb Turks,0
2,4998,Rock,2009,186,Interview: Part 3,New Bomb Turks,0
3,4999,Rock,2009,873,Grifted,New Bomb Turks,5
4,5000,Rock,2009,193,Interview: Part 4,New Bomb Turks,0
5,5001,Rock,2009,180,Interview: Part 5,New Bomb Turks,0
6,5002,Rock,2009,1036,Last Lost Fight,New Bomb Turks,1
7,5003,Rock,2009,636,End of the Great Credibility Race,New Bomb Turks,2
8,5004,Rock,2009,190,Interview: Part 6,New Bomb Turks,0
9,5006,Rock,2009,5982,"So Long, Silver Lining",New Bomb Turks,15
10,5007,Rock,2009,856,Pretty Lightning,New Bomb Turks,3
11,5045,Rock,2009,1229,The Sore Thumb,400 Blows,2
12,5060,Rock,2009,99,Estrella,Bolmongani,0
13,5061,Rock,2009,123,Cosworth,Bolmongani,1
14,5062,Rock,2009,139,One Lady Two,Bolmongani,1
15,5063,Rock,2009,124,Gyroptics  Man,Bolmongani,0
16,5064,Rock,2009,186,Lawn Honky,Bolmongani,0
17,5065,Rock,2009,125,sixth Way Quick Way,Bolmongani,0
18,5078,Rock,2009,373,Telephone Wires,Intelligence,3
19,5079,Rock,2009,738,The New Kings And Queens of Musical History,Intelligence,3
20,5087,Rock,2009,198,Diorama,Love Craft,0
21,5088,Rock,2009,304,Verdigris,Love Craft,0
22,5089,Rock,2009,215,Lalla Rook,Love Craft,0
23,5090,Rock,2009,191,Moon Ray,Love Craft,0
24,5091,Rock,2009,181,Regret Me Not,Love Craft,0
25,5092,Rock,2009,526,Swimming,Love Craft,0
26,5098,Rock,2009,222,Turn Up,Magic Christian,0
27,5099,Rock,2009,167,All Da Stars,Magic Christian,0
28,5100,Rock,2009,95,Till I Looked,Magic Christian,0
29,5101,Rock,2009,86,Right Back Where I Started,Magic Christian,0
30,5102,Rock,2009,150,Tomorrow Never Comes,Magic Christian,0
31,5103,Rock,2009,106,Real Thing,Magic Christian,0
32,5104,Rock,2009,466,Shake Some Action,Magic Christian,0
33,5130,Rock,2009,176,Grade School Sex Queen,Raunchy Young Lepers,0
34,5147,Rock,2009,639,Watertower,Uninhabitable Mansions,0
35,5148,Rock,2009,1025,I Dream So Vividly,Uninhabitable Mansions,1
